gad7,who5,cesdr10,loc,swls,scs,recommended_plan
20,34,15,12,18,19,"Therapist, Meditation, Reading about the illness, Journaling"
21,84,27,24,13,12,"Therapist, Meditation, Reading about the illness, Journaling"
18,22,30,12,15,29,"Therapist, Meditation, Reading about the illness, Journaling"
15,22,26,12,16,29,"Therapist, Meditation, Reading about the illness, Journaling"
14,6,9,17,20,31,"Therapist, Meditation, Reading about the illness, Journaling"
17,30,28,20,30,51,"Therapist, Meditation, Reading about the illness, Journaling"
19,100,19,21,25,39,"Therapist, Meditation, Reading about the illness, Journaling"
15,40,25,5,15,49,"Therapist, Meditation, Reading about the illness, Journaling"
10,2,27,22,25,46,"Therapist, Meditation, Reading about the illness, Journaling"
18,87,20,12,7,12,"Therapist, Meditation, Reading about the illness, Journaling"
12,97,29,24,20,45,"Therapist, Meditation, Reading about the illness, Journaling"
21,53,15,18,13,12,"Therapist, Meditation, Reading about the illness, Journaling"
0,54,11,17,6,36,"Therapist, Meditation, Reading about the illness, Journaling"
20,95,25,8,20,54,"Therapist, Meditation, Reading about the illness, Journaling"
9,17,28,23,24,20,"Therapist, Meditation, Reading about the illness, Journaling"
18,8,28,3,21,27,"Therapist, Meditation, Reading about the illness, Journaling"
19,19,24,14,22,58,"Therapist, Meditation, Reading about the illness, Journaling"
19,73,12,8,12,14,"Therapist, Meditation, Reading about the illness, Journaling"
13,10,29,2,9,53,"Therapist, Meditation, Reading about the illness, Journaling"
19,72,29,19,11,13,"Therapist, Meditation, Reading about the illness, Journaling"
18,63,7,6,25,34,"Therapist, Meditation, Reading about the illness, Journaling"
18,30,28,17,24,55,"Therapist, Meditation, Reading about the illness, Journaling"
12,91,29,9,27,17,"Therapist, Meditation, Reading about the illness, Journaling"
2,83,21,4,23,33,"Therapist, Meditation, Reading about the illness, Journaling"
18,67,27,14,29,55,"Therapist, Meditation, Reading about the illness, Journaling"
21,99,18,6,34,30,"Therapist, Meditation, Reading about the illness, Journaling"
21,71,18,17,32,27,"Therapist, Meditation, Reading about the illness, Journaling"
16,26,26,9,6,47,"Therapist, Meditation, Reading about the illness, Journaling"
17,54,28,16,18,35,"Therapist, Meditation, Reading about the illness, Journaling"
18,2,27,10,10,25,"Therapist, Meditation, Reading about the illness, Journaling"
15,93,23,7,23,31,"Therapist, Meditation, Reading about the illness, Journaling"
21,0,28,7,28,15,"Therapist, Meditation, Reading about the illness, Journaling"
17,6,7,0,31,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,74,26,9,25,44,"Therapist, Meditation, Reading about the illness, Journaling"
3,80,30,2,20,16,"Therapist, Meditation, Reading about the illness, Journaling"
17,13,22,15,33,42,"Therapist, Meditation, Reading about the illness, Journaling"
19,77,17,17,19,26,"Therapist, Meditation, Reading about the illness, Journaling"
21,7,26,14,7,58,"Therapist, Meditation, Reading about the illness, Journaling"
16,12,23,0,6,26,"Therapist, Meditation, Reading about the illness, Journaling"
1,92,6,22,35,36,"Therapist, Meditation, Reading about the illness, Journaling"
7,80,1,4,18,36,"Therapist, Meditation, Reading about the illness, Journaling"
19,21,28,2,9,27,"Therapist, Meditation, Reading about the illness, Journaling"
15,57,15,22,6,15,"Therapist, Meditation, Reading about the illness, Journaling"
16,88,20,4,9,31,"Therapist, Meditation, Reading about the illness, Journaling"
18,72,7,4,14,13,"Therapist, Meditation, Reading about the illness, Journaling"
3,21,25,1,27,40,"Therapist, Meditation, Reading about the illness, Journaling"
13,64,26,0,5,35,"Therapist, Meditation, Reading about the illness, Journaling"
17,31,26,0,32,53,"Therapist, Meditation, Reading about the illness, Journaling"
3,86,21,17,14,35,"Therapist, Meditation, Reading about the illness, Journaling"
12,76,21,16,9,54,"Therapist, Meditation, Reading about the illness, Journaling"
16,22,21,21,23,41,"Therapist, Meditation, Reading about the illness, Journaling"
16,17,6,9,11,51,"Therapist, Meditation, Reading about the illness, Journaling"
0,51,20,17,15,40,"Therapist, Meditation, Reading about the illness, Journaling"
20,50,29,23,23,17,"Therapist, Meditation, Reading about the illness, Journaling"
5,23,25,14,11,30,"Therapist, Meditation, Reading about the illness, Journaling"
2,21,28,10,24,40,"Therapist, Meditation, Reading about the illness, Journaling"
16,29,30,15,22,28,"Therapist, Meditation, Reading about the illness, Journaling"
14,66,25,23,27,30,"Therapist, Meditation, Reading about the illness, Journaling"
1,51,20,20,33,17,"Therapist, Meditation, Reading about the illness, Journaling"
18,52,20,15,16,51,"Therapist, Meditation, Reading about the illness, Journaling"
0,16,30,24,31,34,"Therapist, Meditation, Reading about the illness, Journaling"
19,33,14,13,17,15,"Therapist, Meditation, Reading about the illness, Journaling"
21,9,21,17,33,28,"Therapist, Meditation, Reading about the illness, Journaling"
20,83,28,0,26,58,"Therapist, Meditation, Reading about the illness, Journaling"
20,44,25,0,27,34,"Therapist, Meditation, Reading about the illness, Journaling"
6,25,26,0,19,47,"Therapist, Meditation, Reading about the illness, Journaling"
4,96,22,15,27,49,"Therapist, Meditation, Reading about the illness, Journaling"
13,78,2,2,27,40,"Therapist, Meditation, Reading about the illness, Journaling"
8,2,26,17,15,18,"Therapist, Meditation, Reading about the illness, Journaling"
19,9,5,6,30,45,"Therapist, Meditation, Reading about the illness, Journaling"
19,96,16,9,23,58,"Therapist, Meditation, Reading about the illness, Journaling"
11,31,28,14,34,38,"Therapist, Meditation, Reading about the illness, Journaling"
20,1,25,3,22,18,"Therapist, Meditation, Reading about the illness, Journaling"
21,96,25,10,14,36,"Therapist, Meditation, Reading about the illness, Journaling"
17,44,8,23,12,57,"Therapist, Meditation, Reading about the illness, Journaling"
16,1,24,24,32,35,"Therapist, Meditation, Reading about the illness, Journaling"
16,93,17,7,30,22,"Therapist, Meditation, Reading about the illness, Journaling"
17,73,27,12,21,29,"Therapist, Meditation, Reading about the illness, Journaling"
18,16,21,8,18,60,"Therapist, Meditation, Reading about the illness, Journaling"
3,46,23,10,16,20,"Therapist, Meditation, Reading about the illness, Journaling"
14,18,22,19,30,36,"Therapist, Meditation, Reading about the illness, Journaling"
20,95,21,20,7,13,"Therapist, Meditation, Reading about the illness, Journaling"
17,75,20,16,28,14,"Therapist, Meditation, Reading about the illness, Journaling"
2,6,23,13,18,47,"Therapist, Meditation, Reading about the illness, Journaling"
19,48,20,24,14,27,"Therapist, Meditation, Reading about the illness, Journaling"
7,15,25,19,20,18,"Therapist, Meditation, Reading about the illness, Journaling"
17,70,13,0,30,56,"Therapist, Meditation, Reading about the illness, Journaling"
2,74,29,1,18,55,"Therapist, Meditation, Reading about the illness, Journaling"
11,12,20,13,28,45,"Therapist, Meditation, Reading about the illness, Journaling"
19,39,3,1,14,20,"Therapist, Meditation, Reading about the illness, Journaling"
12,83,21,19,31,57,"Therapist, Meditation, Reading about the illness, Journaling"
18,77,23,15,23,45,"Therapist, Meditation, Reading about the illness, Journaling"
20,21,3,17,16,41,"Therapist, Meditation, Reading about the illness, Journaling"
7,18,15,5,24,38,"Therapist, Meditation, Reading about the illness, Journaling"
19,68,30,10,19,14,"Therapist, Meditation, Reading about the illness, Journaling"
20,92,22,5,21,37,"Therapist, Meditation, Reading about the illness, Journaling"
20,71,25,9,28,46,"Therapist, Meditation, Reading about the illness, Journaling"
13,33,25,8,14,28,"Therapist, Meditation, Reading about the illness, Journaling"
18,3,6,9,17,45,"Therapist, Meditation, Reading about the illness, Journaling"
21,68,21,18,6,23,"Therapist, Meditation, Reading about the illness, Journaling"
16,50,28,10,35,23,"Therapist, Meditation, Reading about the illness, Journaling"
7,52,27,3,14,32,"Therapist, Meditation, Reading about the illness, Journaling"
18,13,11,15,26,32,"Therapist, Meditation, Reading about the illness, Journaling"
18,19,6,23,27,18,"Therapist, Meditation, Reading about the illness, Journaling"
5,43,25,9,27,17,"Therapist, Meditation, Reading about the illness, Journaling"
16,9,18,23,12,32,"Therapist, Meditation, Reading about the illness, Journaling"
19,87,6,0,31,29,"Therapist, Meditation, Reading about the illness, Journaling"
19,26,29,9,18,53,"Therapist, Meditation, Reading about the illness, Journaling"
10,51,28,7,34,34,"Therapist, Meditation, Reading about the illness, Journaling"
6,1,20,17,19,44,"Therapist, Meditation, Reading about the illness, Journaling"
19,17,17,13,34,35,"Therapist, Meditation, Reading about the illness, Journaling"
20,86,9,19,21,22,"Therapist, Meditation, Reading about the illness, Journaling"
16,88,27,3,14,30,"Therapist, Meditation, Reading about the illness, Journaling"
20,53,22,15,5,23,"Therapist, Meditation, Reading about the illness, Journaling"
19,56,17,15,9,37,"Therapist, Meditation, Reading about the illness, Journaling"
19,89,2,7,31,23,"Therapist, Meditation, Reading about the illness, Journaling"
18,85,24,11,6,48,"Therapist, Meditation, Reading about the illness, Journaling"
11,59,7,8,19,48,"Therapist, Meditation, Reading about the illness, Journaling"
17,52,28,13,22,26,"Therapist, Meditation, Reading about the illness, Journaling"
6,14,22,15,8,32,"Therapist, Meditation, Reading about the illness, Journaling"
3,60,25,4,27,40,"Therapist, Meditation, Reading about the illness, Journaling"
12,39,26,12,27,27,"Therapist, Meditation, Reading about the illness, Journaling"
3,24,24,11,16,37,"Therapist, Meditation, Reading about the illness, Journaling"
15,68,11,21,24,39,"Therapist, Meditation, Reading about the illness, Journaling"
19,76,21,6,14,56,"Therapist, Meditation, Reading about the illness, Journaling"
20,67,5,20,5,18,"Therapist, Meditation, Reading about the illness, Journaling"
19,42,29,24,19,49,"Therapist, Meditation, Reading about the illness, Journaling"
18,11,9,21,8,42,"Therapist, Meditation, Reading about the illness, Journaling"
18,35,21,4,7,20,"Therapist, Meditation, Reading about the illness, Journaling"
16,97,28,8,18,15,"Therapist, Meditation, Reading about the illness, Journaling"
12,41,27,15,16,16,"Therapist, Meditation, Reading about the illness, Journaling"
0,16,25,15,31,38,"Therapist, Meditation, Reading about the illness, Journaling"
20,89,26,16,34,49,"Therapist, Meditation, Reading about the illness, Journaling"
18,67,28,6,27,13,"Therapist, Meditation, Reading about the illness, Journaling"
21,47,27,18,15,45,"Therapist, Meditation, Reading about the illness, Journaling"
15,76,28,14,31,15,"Therapist, Meditation, Reading about the illness, Journaling"
20,66,3,21,21,33,"Therapist, Meditation, Reading about the illness, Journaling"
16,75,16,22,25,15,"Therapist, Meditation, Reading about the illness, Journaling"
21,52,21,19,19,34,"Therapist, Meditation, Reading about the illness, Journaling"
19,36,16,12,23,41,"Therapist, Meditation, Reading about the illness, Journaling"
20,83,3,19,23,56,"Therapist, Meditation, Reading about the illness, Journaling"
11,33,26,1,9,21,"Therapist, Meditation, Reading about the illness, Journaling"
8,9,4,9,10,38,"Therapist, Meditation, Reading about the illness, Journaling"
17,91,20,16,11,25,"Therapist, Meditation, Reading about the illness, Journaling"
20,68,16,24,34,42,"Therapist, Meditation, Reading about the illness, Journaling"
7,18,30,3,22,44,"Therapist, Meditation, Reading about the illness, Journaling"
0,48,30,3,30,55,"Therapist, Meditation, Reading about the illness, Journaling"
5,57,26,20,32,27,"Therapist, Meditation, Reading about the illness, Journaling"
21,53,5,24,32,16,"Therapist, Meditation, Reading about the illness, Journaling"
17,92,24,18,5,12,"Therapist, Meditation, Reading about the illness, Journaling"
16,39,28,2,29,56,"Therapist, Meditation, Reading about the illness, Journaling"
21,97,11,20,28,59,"Therapist, Meditation, Reading about the illness, Journaling"
17,86,16,8,21,13,"Therapist, Meditation, Reading about the illness, Journaling"
21,41,29,19,13,28,"Therapist, Meditation, Reading about the illness, Journaling"
1,18,3,16,9,50,"Therapist, Meditation, Reading about the illness, Journaling"
20,38,20,3,12,56,"Therapist, Meditation, Reading about the illness, Journaling"
4,87,3,8,8,35,"Therapist, Meditation, Reading about the illness, Journaling"
16,11,18,17,21,41,"Therapist, Meditation, Reading about the illness, Journaling"
17,78,0,8,19,39,"Therapist, Meditation, Reading about the illness, Journaling"
2,75,22,19,5,32,"Therapist, Meditation, Reading about the illness, Journaling"
0,58,26,6,32,33,"Therapist, Meditation, Reading about the illness, Journaling"
13,17,27,6,21,40,"Therapist, Meditation, Reading about the illness, Journaling"
7,70,21,3,22,49,"Therapist, Meditation, Reading about the illness, Journaling"
8,50,27,2,22,16,"Therapist, Meditation, Reading about the illness, Journaling"
20,63,23,24,32,23,"Therapist, Meditation, Reading about the illness, Journaling"
13,47,26,19,33,49,"Therapist, Meditation, Reading about the illness, Journaling"
14,6,0,24,35,23,"Therapist, Meditation, Reading about the illness, Journaling"
18,11,5,6,22,13,"Therapist, Meditation, Reading about the illness, Journaling"
11,70,23,8,35,50,"Therapist, Meditation, Reading about the illness, Journaling"
20,57,12,18,34,45,"Therapist, Meditation, Reading about the illness, Journaling"
20,31,24,2,7,33,"Therapist, Meditation, Reading about the illness, Journaling"
17,92,11,15,21,18,"Therapist, Meditation, Reading about the illness, Journaling"
1,87,6,16,24,17,"Therapist, Meditation, Reading about the illness, Journaling"
16,82,12,20,28,49,"Therapist, Meditation, Reading about the illness, Journaling"
17,100,3,7,20,46,"Therapist, Meditation, Reading about the illness, Journaling"
11,67,12,13,18,24,"Therapist, Meditation, Reading about the illness, Journaling"
16,98,16,16,13,13,"Therapist, Meditation, Reading about the illness, Journaling"
19,42,27,21,19,54,"Therapist, Meditation, Reading about the illness, Journaling"
17,68,27,19,11,50,"Therapist, Meditation, Reading about the illness, Journaling"
20,73,27,0,29,51,"Therapist, Meditation, Reading about the illness, Journaling"
12,4,23,10,34,18,"Therapist, Meditation, Reading about the illness, Journaling"
9,66,21,7,35,22,"Therapist, Meditation, Reading about the illness, Journaling"
12,62,8,19,29,45,"Therapist, Meditation, Reading about the illness, Journaling"
11,44,16,10,10,34,"Therapist, Meditation, Reading about the illness, Journaling"
5,83,21,24,19,60,"Therapist, Meditation, Reading about the illness, Journaling"
19,21,20,17,19,16,"Therapist, Meditation, Reading about the illness, Journaling"
5,93,4,18,35,21,"Therapist, Meditation, Reading about the illness, Journaling"
15,96,26,15,26,49,"Therapist, Meditation, Reading about the illness, Journaling"
1,79,28,4,27,39,"Therapist, Meditation, Reading about the illness, Journaling"
19,93,30,12,31,37,"Therapist, Meditation, Reading about the illness, Journaling"
9,37,30,4,27,39,"Therapist, Meditation, Reading about the illness, Journaling"
21,94,15,18,13,40,"Therapist, Meditation, Reading about the illness, Journaling"
16,2,3,23,33,22,"Therapist, Meditation, Reading about the illness, Journaling"
10,38,24,5,18,13,"Therapist, Meditation, Reading about the illness, Journaling"
10,64,30,2,7,42,"Therapist, Meditation, Reading about the illness, Journaling"
0,83,25,2,35,13,"Therapist, Meditation, Reading about the illness, Journaling"
18,68,29,8,6,45,"Therapist, Meditation, Reading about the illness, Journaling"
9,84,3,16,19,17,"Therapist, Meditation, Reading about the illness, Journaling"
17,89,13,20,17,37,"Therapist, Meditation, Reading about the illness, Journaling"
18,14,4,15,5,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,79,27,22,15,32,"Therapist, Meditation, Reading about the illness, Journaling"
17,61,29,5,18,36,"Therapist, Meditation, Reading about the illness, Journaling"
15,20,25,7,23,32,"Therapist, Meditation, Reading about the illness, Journaling"
18,92,21,15,13,26,"Therapist, Meditation, Reading about the illness, Journaling"
16,83,23,12,26,48,"Therapist, Meditation, Reading about the illness, Journaling"
8,27,25,15,10,42,"Therapist, Meditation, Reading about the illness, Journaling"
15,90,28,23,17,37,"Therapist, Meditation, Reading about the illness, Journaling"
16,86,27,4,14,18,"Therapist, Meditation, Reading about the illness, Journaling"
15,65,13,24,13,38,"Therapist, Meditation, Reading about the illness, Journaling"
16,53,28,2,10,17,"Therapist, Meditation, Reading about the illness, Journaling"
16,1,26,11,26,48,"Therapist, Meditation, Reading about the illness, Journaling"
15,80,0,0,25,56,"Therapist, Meditation, Reading about the illness, Journaling"
21,74,26,23,26,55,"Therapist, Meditation, Reading about the illness, Journaling"
12,73,30,2,28,39,"Therapist, Meditation, Reading about the illness, Journaling"
7,53,16,14,20,26,"Therapist, Meditation, Reading about the illness, Journaling"
17,67,29,10,9,46,"Therapist, Meditation, Reading about the illness, Journaling"
10,40,6,9,22,34,"Therapist, Meditation, Reading about the illness, Journaling"
21,48,26,0,9,59,"Therapist, Meditation, Reading about the illness, Journaling"
15,19,23,17,25,47,"Therapist, Meditation, Reading about the illness, Journaling"
12,34,23,15,34,47,"Therapist, Meditation, Reading about the illness, Journaling"
15,68,0,18,26,35,"Therapist, Meditation, Reading about the illness, Journaling"
18,35,23,3,8,29,"Therapist, Meditation, Reading about the illness, Journaling"
8,20,1,3,16,50,"Therapist, Meditation, Reading about the illness, Journaling"
21,79,16,18,13,42,"Therapist, Meditation, Reading about the illness, Journaling"
19,13,15,0,7,50,"Therapist, Meditation, Reading about the illness, Journaling"
18,40,22,18,31,48,"Therapist, Meditation, Reading about the illness, Journaling"
18,13,26,22,16,46,"Therapist, Meditation, Reading about the illness, Journaling"
16,42,29,16,9,56,"Therapist, Meditation, Reading about the illness, Journaling"
16,17,3,8,34,40,"Therapist, Meditation, Reading about the illness, Journaling"
20,41,5,14,33,15,"Therapist, Meditation, Reading about the illness, Journaling"
15,79,6,10,18,14,"Therapist, Meditation, Reading about the illness, Journaling"
9,81,12,19,30,59,"Therapist, Meditation, Reading about the illness, Journaling"
20,77,22,0,32,48,"Therapist, Meditation, Reading about the illness, Journaling"
1,68,25,12,13,53,"Therapist, Meditation, Reading about the illness, Journaling"
2,28,11,2,30,41,"Therapist, Meditation, Reading about the illness, Journaling"
1,24,23,18,17,50,"Therapist, Meditation, Reading about the illness, Journaling"
21,60,1,21,13,55,"Therapist, Meditation, Reading about the illness, Journaling"
11,76,21,13,9,53,"Therapist, Meditation, Reading about the illness, Journaling"
17,100,1,6,35,17,"Therapist, Meditation, Reading about the illness, Journaling"
17,56,29,23,25,17,"Therapist, Meditation, Reading about the illness, Journaling"
16,99,20,1,15,50,"Therapist, Meditation, Reading about the illness, Journaling"
16,51,7,13,16,33,"Therapist, Meditation, Reading about the illness, Journaling"
17,29,28,7,6,58,"Therapist, Meditation, Reading about the illness, Journaling"
18,4,22,10,19,19,"Therapist, Meditation, Reading about the illness, Journaling"
17,26,25,18,22,53,"Therapist, Meditation, Reading about the illness, Journaling"
18,100,22,18,5,58,"Therapist, Meditation, Reading about the illness, Journaling"
21,4,27,9,32,16,"Therapist, Meditation, Reading about the illness, Journaling"
19,27,12,0,15,34,"Therapist, Meditation, Reading about the illness, Journaling"
17,25,29,15,17,50,"Therapist, Meditation, Reading about the illness, Journaling"
15,5,1,13,22,49,"Therapist, Meditation, Reading about the illness, Journaling"
17,91,27,9,21,40,"Therapist, Meditation, Reading about the illness, Journaling"
13,25,5,6,16,46,"Therapist, Meditation, Reading about the illness, Journaling"
17,49,6,24,17,32,"Therapist, Meditation, Reading about the illness, Journaling"
20,78,8,19,6,36,"Therapist, Meditation, Reading about the illness, Journaling"
17,2,22,9,28,17,"Therapist, Meditation, Reading about the illness, Journaling"
16,72,21,19,16,16,"Therapist, Meditation, Reading about the illness, Journaling"
15,0,24,17,16,24,"Therapist, Meditation, Reading about the illness, Journaling"
19,23,15,2,26,47,"Therapist, Meditation, Reading about the illness, Journaling"
16,14,2,9,13,54,"Therapist, Meditation, Reading about the illness, Journaling"
16,1,22,23,27,13,"Therapist, Meditation, Reading about the illness, Journaling"
17,66,28,13,29,59,"Therapist, Meditation, Reading about the illness, Journaling"
2,8,21,5,27,32,"Therapist, Meditation, Reading about the illness, Journaling"
19,69,30,22,16,47,"Therapist, Meditation, Reading about the illness, Journaling"
16,2,27,11,11,23,"Therapist, Meditation, Reading about the illness, Journaling"
13,8,24,20,15,16,"Therapist, Meditation, Reading about the illness, Journaling"
16,32,30,6,34,57,"Therapist, Meditation, Reading about the illness, Journaling"
10,26,1,2,6,50,"Therapist, Meditation, Reading about the illness, Journaling"
16,84,12,19,35,49,"Therapist, Meditation, Reading about the illness, Journaling"
15,69,29,8,29,14,"Therapist, Meditation, Reading about the illness, Journaling"
17,11,22,15,29,46,"Therapist, Meditation, Reading about the illness, Journaling"
19,76,26,24,19,14,"Therapist, Meditation, Reading about the illness, Journaling"
18,32,27,7,28,31,"Therapist, Meditation, Reading about the illness, Journaling"
16,38,12,24,18,43,"Therapist, Meditation, Reading about the illness, Journaling"
21,86,7,17,17,43,"Therapist, Meditation, Reading about the illness, Journaling"
18,85,4,15,13,21,"Therapist, Meditation, Reading about the illness, Journaling"
15,89,3,4,32,27,"Therapist, Meditation, Reading about the illness, Journaling"
17,13,20,14,21,44,"Therapist, Meditation, Reading about the illness, Journaling"
15,80,10,13,33,31,"Therapist, Meditation, Reading about the illness, Journaling"
19,81,12,22,34,57,"Therapist, Meditation, Reading about the illness, Journaling"
7,31,0,21,21,30,"Therapist, Meditation, Reading about the illness, Journaling"
2,83,21,24,8,21,"Therapist, Meditation, Reading about the illness, Journaling"
20,89,15,16,20,18,"Therapist, Meditation, Reading about the illness, Journaling"
15,20,22,17,15,47,"Therapist, Meditation, Reading about the illness, Journaling"
8,19,26,24,6,20,"Therapist, Meditation, Reading about the illness, Journaling"
19,69,19,6,5,12,"Therapist, Meditation, Reading about the illness, Journaling"
19,13,29,21,11,57,"Therapist, Meditation, Reading about the illness, Journaling"
21,28,30,9,21,25,"Therapist, Meditation, Reading about the illness, Journaling"
15,90,30,24,31,43,"Therapist, Meditation, Reading about the illness, Journaling"
13,8,25,2,12,31,"Therapist, Meditation, Reading about the illness, Journaling"
20,91,20,2,15,22,"Therapist, Meditation, Reading about the illness, Journaling"
21,18,26,11,19,42,"Therapist, Meditation, Reading about the illness, Journaling"
19,25,21,11,6,31,"Therapist, Meditation, Reading about the illness, Journaling"
3,22,25,18,15,39,"Therapist, Meditation, Reading about the illness, Journaling"
7,17,24,22,34,25,"Therapist, Meditation, Reading about the illness, Journaling"
2,62,30,11,16,14,"Therapist, Meditation, Reading about the illness, Journaling"
13,38,30,24,25,21,"Therapist, Meditation, Reading about the illness, Journaling"
17,59,24,19,16,43,"Therapist, Meditation, Reading about the illness, Journaling"
12,8,27,24,23,46,"Therapist, Meditation, Reading about the illness, Journaling"
17,80,18,10,35,45,"Therapist, Meditation, Reading about the illness, Journaling"
20,11,23,12,6,13,"Therapist, Meditation, Reading about the illness, Journaling"
19,93,6,13,16,41,"Therapist, Meditation, Reading about the illness, Journaling"
20,5,23,17,28,48,"Therapist, Meditation, Reading about the illness, Journaling"
5,85,30,21,28,12,"Therapist, Meditation, Reading about the illness, Journaling"
18,70,27,22,25,45,"Therapist, Meditation, Reading about the illness, Journaling"
16,41,28,17,18,29,"Therapist, Meditation, Reading about the illness, Journaling"
16,71,24,3,31,47,"Therapist, Meditation, Reading about the illness, Journaling"
15,62,7,14,30,48,"Therapist, Meditation, Reading about the illness, Journaling"
21,61,6,6,32,25,"Therapist, Meditation, Reading about the illness, Journaling"
5,24,21,6,10,39,"Therapist, Meditation, Reading about the illness, Journaling"
11,19,9,18,20,22,"Therapist, Meditation, Reading about the illness, Journaling"
6,33,26,9,23,20,"Therapist, Meditation, Reading about the illness, Journaling"
16,24,12,19,18,55,"Therapist, Meditation, Reading about the illness, Journaling"
21,26,15,7,14,15,"Therapist, Meditation, Reading about the illness, Journaling"
21,77,30,0,20,21,"Therapist, Meditation, Reading about the illness, Journaling"
21,81,8,10,20,13,"Therapist, Meditation, Reading about the illness, Journaling"
5,92,7,1,13,58,"Therapist, Meditation, Reading about the illness, Journaling"
0,71,26,4,26,44,"Therapist, Meditation, Reading about the illness, Journaling"
18,95,22,0,15,44,"Therapist, Meditation, Reading about the illness, Journaling"
4,56,7,9,6,20,"Therapist, Meditation, Reading about the illness, Journaling"
2,53,24,19,22,36,"Therapist, Meditation, Reading about the illness, Journaling"
13,10,25,15,12,50,"Therapist, Meditation, Reading about the illness, Journaling"
16,53,7,4,31,39,"Therapist, Meditation, Reading about the illness, Journaling"
14,32,20,14,18,27,"Therapist, Meditation, Reading about the illness, Journaling"
0,57,24,20,9,21,"Therapist, Meditation, Reading about the illness, Journaling"
17,19,20,24,19,57,"Therapist, Meditation, Reading about the illness, Journaling"
8,10,22,11,14,36,"Therapist, Meditation, Reading about the illness, Journaling"
10,38,3,20,30,25,"Therapist, Meditation, Reading about the illness, Journaling"
15,29,3,11,28,46,"Therapist, Meditation, Reading about the illness, Journaling"
21,67,26,19,20,18,"Therapist, Meditation, Reading about the illness, Journaling"
10,92,29,6,16,18,"Therapist, Meditation, Reading about the illness, Journaling"
6,72,29,8,6,56,"Therapist, Meditation, Reading about the illness, Journaling"
3,1,20,12,35,40,"Therapist, Meditation, Reading about the illness, Journaling"
14,32,14,19,14,23,"Therapist, Meditation, Reading about the illness, Journaling"
21,24,30,12,27,32,"Therapist, Meditation, Reading about the illness, Journaling"
19,53,30,4,17,39,"Therapist, Meditation, Reading about the illness, Journaling"
17,70,6,5,7,56,"Therapist, Meditation, Reading about the illness, Journaling"
17,80,7,19,31,44,"Therapist, Meditation, Reading about the illness, Journaling"
16,26,13,15,12,34,"Therapist, Meditation, Reading about the illness, Journaling"
19,92,30,17,24,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,37,27,5,25,40,"Therapist, Meditation, Reading about the illness, Journaling"
16,75,27,22,21,26,"Therapist, Meditation, Reading about the illness, Journaling"
9,17,28,14,10,55,"Therapist, Meditation, Reading about the illness, Journaling"
2,53,23,24,34,16,"Therapist, Meditation, Reading about the illness, Journaling"
15,85,25,10,14,23,"Therapist, Meditation, Reading about the illness, Journaling"
5,22,24,8,30,40,"Therapist, Meditation, Reading about the illness, Journaling"
20,19,27,18,18,50,"Therapist, Meditation, Reading about the illness, Journaling"
1,32,27,21,16,45,"Therapist, Meditation, Reading about the illness, Journaling"
16,45,22,23,11,36,"Therapist, Meditation, Reading about the illness, Journaling"
17,43,1,11,34,28,"Therapist, Meditation, Reading about the illness, Journaling"
17,44,21,11,31,60,"Therapist, Meditation, Reading about the illness, Journaling"
21,69,10,8,34,58,"Therapist, Meditation, Reading about the illness, Journaling"
19,53,27,11,25,51,"Therapist, Meditation, Reading about the illness, Journaling"
16,46,18,5,20,19,"Therapist, Meditation, Reading about the illness, Journaling"
19,48,6,16,16,56,"Therapist, Meditation, Reading about the illness, Journaling"
13,35,16,20,9,35,"Therapist, Meditation, Reading about the illness, Journaling"
6,92,16,6,5,18,"Therapist, Meditation, Reading about the illness, Journaling"
10,62,2,3,8,39,"Therapist, Meditation, Reading about the illness, Journaling"
21,38,4,23,20,44,"Therapist, Meditation, Reading about the illness, Journaling"
21,61,28,12,35,13,"Therapist, Meditation, Reading about the illness, Journaling"
10,74,23,1,33,27,"Therapist, Meditation, Reading about the illness, Journaling"
19,70,22,5,12,24,"Therapist, Meditation, Reading about the illness, Journaling"
15,69,27,6,29,50,"Therapist, Meditation, Reading about the illness, Journaling"
17,65,26,18,8,17,"Therapist, Meditation, Reading about the illness, Journaling"
19,70,29,8,29,44,"Therapist, Meditation, Reading about the illness, Journaling"
17,91,9,10,5,12,"Therapist, Meditation, Reading about the illness, Journaling"
18,81,2,8,18,42,"Therapist, Meditation, Reading about the illness, Journaling"
13,25,24,20,21,33,"Therapist, Meditation, Reading about the illness, Journaling"
16,3,24,3,10,32,"Therapist, Meditation, Reading about the illness, Journaling"
19,54,25,6,24,44,"Therapist, Meditation, Reading about the illness, Journaling"
3,83,27,7,28,14,"Therapist, Meditation, Reading about the illness, Journaling"
15,73,25,17,26,57,"Therapist, Meditation, Reading about the illness, Journaling"
12,76,25,24,18,35,"Therapist, Meditation, Reading about the illness, Journaling"
17,47,22,13,16,39,"Therapist, Meditation, Reading about the illness, Journaling"
17,84,20,24,27,31,"Therapist, Meditation, Reading about the illness, Journaling"
1,69,10,3,28,23,"Therapist, Meditation, Reading about the illness, Journaling"
12,5,0,17,26,52,"Therapist, Meditation, Reading about the illness, Journaling"
14,87,22,15,10,17,"Therapist, Meditation, Reading about the illness, Journaling"
